기온(°C),강수량(mm),풍속(m/s),습도(%),이슬점온도(°C),일조(hr),일사(MJ/m2),시정(10m),지면온도(°C),월,일,시간
-0.7,0.0,0.0,83.0,-3.2,0.0,0.0,537,0.0,1,2,2
-0.9,0.0,0.2,84.0,-3.2,0.0,0.0,527,0.0,1,2,3
-0.7,0.0,0.0,81.0,-3.5,0.0,0.0,670,-0.1,1,2,4
-0.3,0.0,0.9,83.0,-2.8,0.0,0.0,594,-0.2,1,2,5
-0.5,0.0,0.0,84.0,-2.8,0.0,0.0,553,-0.2,1,2,6
-0.4,0.0,0.0,83.0,-2.9,0.0,0.0,537,-0.2,1,2,7
0.0,0.0,0.0,84.0,-2.3,0.0,0.0,585,-0.2,1,2,8
0.6,0.0,0.0,80.0,-2.4,0.0,0.05,675,0.0,1,2,9
0.8,0.0,0.0,78.0,-2.6,0.0,0.15,650,0.0,1,2,10
1.5,0.0,0.0,77.0,-2.1,0.0,0.41,524,0.1,1,2,11
1.8,0.0,0.0,74.0,-2.3,0.0,0.34,595,0.6,1,2,12
2.5,0.0,0.0,67.0,-3.0,0.0,0.39,740,3.0,1,2,13
3.0,0.0,0.0,68.0,-2.3,0.0,0.43,663,3.7,1,2,14
3.4,0.0,0.5,67.0,-2.1,0.0,0.25,668,3.2,1,2,15
3.4,0.0,0.0,66.0,-2.3,0.0,0.11,675,2.5,1,2,16
3.2,0.0,0.0,68.0,-2.1,0.0,0.03,567,2.0,1,2,17
3.2,0.0,0.0,68.0,-2.1,0.0,0.0,584,1.7,1,2,18
3.5,0.0,0.0,69.0,-1.6,0.0,0.0,555,1.6,1,2,19
2.8,0.0,0.0,73.0,-1.5,0.0,0.0,487,1.5,1,2,20
2.7,0.0,0.0,74.0,-1.4,0.0,0.0,418,1.2,1,2,21
2.5,0.0,0.0,73.0,-1.8,0.0,0.0,493,1.2,1,2,22
2.7,0.0,0.6,73.0,-1.6,0.0,0.0,488,0.8,1,2,23
2.6,0.0,0.0,74.0,-1.5,0.0,0.0,446,0.6,1,3,0
1.7,0.0,0.0,80.0,-1.3,0.0,0.0,360,0.3,1,3,1
0.6,0.0,0.0,84.0,-1.7,0.0,0.0,309,0.3,1,3,2
1.0,0.0,0.0,84.0,-1.4,0.0,0.0,367,0.3,1,3,3
1.0,0.0,0.0,83.0,-1.5,0.0,0.0,304,0.2,1,3,4
0.6,0.0,0.0,84.0,-1.7,0.0,0.0,371,0.1,1,3,5
0.3,0.0,0.0,85.0,-1.9,0.0,0.0,324,-0.4,1,3,6
-0.1,0.0,0.0,86.0,-2.1,0.0,0.0,294,-0.9,1,3,7
-0.2,0.0,0.0,87.0,-2.1,0.0,0.0,254,-1.2,1,3,8
0.1,0.0,0.6,84.0,-2.2,0.0,0.17,299,-0.5,1,3,9
1.1,0.0,0.4,80.0,-1.9,0.5,0.51,285,0.0,1,3,10
2.4,0.0,0.4,75.0,-1.5,0.2,0.79,297,0.1,1,3,11
3.6,0.0,1.4,68.0,-1.7,0.2,0.84,358,5.0,1,3,12
4.5,0.0,2.8,61.0,-2.3,0.8,1.49,510,9.0,1,3,13
5.0,0.0,2.2,56.0,-3.0,1.0,1.54,547,9.8,1,3,14
5.5,0.0,1.7,52.0,-3.5,1.0,1.33,695,9.3,1,3,15
5.6,0.0,1.9,48.0,-4.5,1.0,0.86,678,6.7,1,3,16
4.6,0.0,1.7,51.0,-4.6,0.7,0.33,715,2.9,1,3,17
3.5,0.0,0.9,52.0,-5.4,0.0,0.0,617,0.6,1,3,18
3.0,0.0,0.8,52.0,-5.9,0.0,0.0,935,0.0,1,3,19
2.2,0.0,0.3,57.0,-5.4,0.0,0.0,1082,0.4,1,3,20
1.5,0.0,0.1,59.0,-5.6,0.0,0.0,1135,0.0,1,3,21
1.0,0.0,0.0,62.0,-5.4,0.0,0.0,1050,-0.9,1,3,22
0.6,0.0,0.0,65.0,-5.2,0.0,0.0,1100,-1.3,1,3,23
-0.2,0.0,0.0,70.0,-5.0,0.0,0.0,1050,-1.7,1,4,0
-0.9,0.0,0.0,73.0,-5.1,0.0,0.0,725,-1.8,1,4,1
-1.3,0.0,0.6,74.0,-5.3,0.0,0.0,676,-2.0,1,4,2
-1.6,0.0,0.4,76.0,-5.2,0.0,0.0,647,-2.3,1,4,3
-2.1,0.0,0.6,78.0,-5.4,0.0,0.0,566,-2.3,1,4,4
-2.3,0.0,0.0,78.0,-5.6,0.0,0.0,572,-2.5,1,4,5
-2.8,0.0,0.0,84.0,-5.1,0.0,0.0,417,-2.5,1,4,6
-3.5,0.0,0.0,86.0,-5.5,0.0,0.0,342,-2.5,1,4,7
-2.4,0.0,0.0,82.0,-5.0,0.0,0.0,431,-1.8,1,4,8
-1.8,0.0,0.0,78.0,-5.1,0.1,0.25,461,-0.7,1,4,9
-1.4,0.0,0.5,82.0,-4.0,0.0,0.26,331,-0.2,1,4,10
0.1,0.0,0.2,77.0,-3.4,0.0,0.42,386,0.0,1,4,11
2.4,0.0,0.4,68.0,-2.9,0.7,1.28,477,1.7,1,4,12
4.5,0.0,1.3,65.0,-1.5,0.5,1.33,549,4.4,1,4,13
5.5,0.0,1.4,60.0,-1.6,1.0,1.59,674,8.7,1,4,14
6.7,0.0,1.9,55.0,-1.7,1.0,1.25,750,8.6,1,4,15
7.0,0.0,1.6,43.0,-4.7,1.0,0.81,1050,6.5,1,4,16
6.4,0.0,1.6,41.0,-5.9,0.7,0.34,1237,2.7,1,4,17
4.9,0.0,1.2,49.0,-4.9,0.0,0.0,1100,0.3,1,4,18
4.1,0.0,1.2,49.0,-5.6,0.0,0.0,1010,0.3,1,4,19
3.9,0.0,2.6,56.0,-4.0,0.0,0.0,1050,0.3,1,4,20
2.9,0.0,0.7,61.0,-3.8,0.0,0.0,1050,0.1,1,4,21
2.0,0.0,0.2,66.0,-3.6,0.0,0.0,1050,-0.2,1,4,22
0.8,0.0,0.7,70.0,-4.0,0.0,0.0,638,-1.0,1,4,23
0.0,0.0,1.2,72.0,-4.4,0.0,0.0,605,-1.4,1,5,0
-0.5,0.0,0.0,74.0,-4.5,0.0,0.0,587,-1.7,1,5,1
-1.3,0.0,0.6,77.0,-4.8,0.0,0.0,531,-1.9,1,5,2
-1.5,0.0,0.8,78.0,-4.8,0.0,0.0,461,-2.1,1,5,3
-2.0,0.0,0.0,79.0,-5.1,0.0,0.0,502,-2.3,1,5,4
-2.3,0.0,0.0,81.0,-5.1,0.0,0.0,497,-2.5,1,5,5
-3.5,0.0,0.0,85.0,-5.6,0.0,0.0,362,-2.8,1,5,6
-3.5,0.0,0.0,85.0,-5.6,0.0,0.0,326,-3.0,1,5,7
-3.8,0.0,0.0,85.0,-5.9,0.0,0.0,397,-3.0,1,5,8
-2.5,0.0,0.0,81.0,-5.3,0.9,0.4,123,-1.2,1,5,9
-0.5,0.0,0.0,73.0,-4.7,1.0,1.15,435,0.0,1,5,10
1.7,0.0,0.0,67.0,-3.7,1.0,1.6,409,1.2,1,5,11
3.5,0.0,1.0,56.0,-4.4,1.0,1.75,607,5.5,1,5,12
4.8,0.0,1.2,43.0,-6.7,1.0,1.83,1127,9.5,1,5,13
5.5,0.0,1.1,35.0,-8.7,1.0,1.61,1796,10.0,1,5,14
6.3,0.0,1.2,36.0,-7.7,1.0,1.33,1403,9.0,1,5,15
6.3,0.0,0.8,34.0,-8.4,0.7,0.63,1570,5.8,1,5,16
5.8,0.0,0.3,32.0,-9.6,0.0,0.22,1629,3.0,1,5,17
4.9,0.0,0.2,35.0,-9.3,0.0,0.01,1982,1.2,1,5,18
4.4,0.0,0.3,36.0,-9.4,0.0,0.0,1605,0.6,1,5,19
4.0,0.0,0.1,41.0,-8.0,0.0,0.0,1133,0.2,1,5,20
2.7,0.0,0.3,47.0,-7.5,0.0,0.0,1100,-0.8,1,5,21
2.0,0.0,0.7,51.0,-7.0,0.0,0.0,931,0.2,1,5,22
1.1,0.0,0.3,58.0,-6.2,0.0,0.0,797,0.1,1,5,23
1.1,0.0,0.0,58.0,-6.2,0.0,0.0,775,0.0,1,6,0
0.6,0.0,0.9,60.0,-6.2,0.0,0.0,746,-0.5,1,6,1
1.1,0.0,1.1,59.0,-6.0,0.0,0.0,815,-0.4,1,6,2
1.0,0.0,0.9,59.0,-6.1,0.0,0.0,760,-0.3,1,6,3
1.0,0.0,0.6,60.0,-5.9,0.0,0.0,759,-0.2,1,6,4
1.3,0.0,0.6,58.0,-6.0,0.0,0.0,784,-0.2,1,6,5
1.6,0.0,0.3,59.0,-5.5,0.0,0.0,776,-0.2,1,6,6
1.5,0.0,0.2,61.0,-5.2,0.0,0.0,702,-0.1,1,6,7
2.2,0.0,0.4,61.0,-4.5,0.0,0.0,741,0.0,1,6,8
2.5,0.0,0.6,70.0,-2.4,0.0,0.03,732,0.0,1,6,9
2.2,0.0,1.3,75.0,-1.7,0.0,0.14,435,0.0,1,6,10
2.9,0.0,0.5,69.0,-2.2,0.0,0.43,529,1.9,1,6,11
2.5,0.1,0.4,80.0,-0.6,0.0,0.21,173,2.5,1,6,12
2.9,0.0,0.2,82.0,0.1,0.0,0.26,351,3.7,1,6,13
3.2,0.0,0.2,84.0,0.7,0.0,0.22,294,3.7,1,6,14
3.4,0.2,1.0,86.0,1.2,0.0,0.21,253,3.7,1,6,15
3.5,0.0,1.9,88.0,1.6,0.0,0.12,247,3.5,1,6,16
3.7,0.0,1.7,89.0,2.0,0.0,0.03,250,3.2,1,6,17
3.5,0.0,0.9,92.0,2.3,0.0,0.0,149,3.0,1,6,18
3.7,0.0,0.7,93.0,2.6,0.0,0.0,101,3.0,1,6,19
3.9,0.0,0.0,94.0,3.0,0.0,0.0,126,3.0,1,6,20
3.9,2.6,0.5,95.0,3.1,0.0,0.0,134,3.2,1,6,21
4.3,0.0,0.1,95.0,3.5,0.0,0.0,138,3.2,1,6,22
4.4,0.0,0.6,95.0,3.6,0.0,0.0,185,3.4,1,6,23
4.7,3.0,1.0,96.0,4.1,0.0,0.0,178,3.5,1,7,0
5.0,0.0,0.2,96.0,4.4,0.0,0.0,300,3.5,1,7,1
5.0,0.0,0.4,96.0,4.4,0.0,0.0,302,3.7,1,7,2
5.0,6.2,0.0,96.0,4.4,0.0,0.0,278,3.7,1,7,3
5.5,0.0,0.0,96.0,4.9,0.0,0.0,180,3.9,1,7,4
5.6,0.0,0.0,96.0,5.0,0.0,0.0,268,3.9,1,7,5
5.5,8.5,0.9,96.0,4.9,0.0,0.0,246,4.0,1,7,6
6.0,0.0,0.4,97.0,5.5,0.0,0.0,145,4.1,1,7,7
6.2,0.0,0.6,97.0,5.7,0.0,0.0,197,4.1,1,7,8
6.5,5.6,1.1,97.0,6.0,0.0,0.0,173,4.5,1,7,9
6.6,0.0,0.8,97.0,6.1,0.0,0.02,188,4.8,1,7,10
7.1,0.0,0.3,96.0,6.5,0.0,0.08,268,5.1,1,7,11
7.5,4.3,0.9,97.0,7.0,0.0,0.13,220,5.5,1,7,12
7.8,0.0,0.0,96.0,7.1,0.0,0.14,126,5.9,1,7,13
7.9,0.0,0.1,97.0,7.4,0.0,0.1,135,6.1,1,7,14
8.2,2.2,0.0,97.0,7.7,0.0,0.08,101,6.0,1,7,15
8.3,0.0,0.1,97.0,7.8,0.0,0.05,192,6.0,1,7,16
8.5,0.0,1.1,97.0,8.0,0.0,0.02,174,5.9,1,7,17
8.7,7.7,0.4,97.0,8.2,0.0,0.0,258,6.0,1,7,18
9.1,0.0,0.0,97.0,8.6,0.0,0.0,183,6.0,1,7,19
9.5,0.0,0.0,97.0,9.0,0.0,0.0,83,6.4,1,7,20
10.7,13.5,1.1,97.0,10.2,0.0,0.0,427,6.7,1,7,21
12.7,0.0,0.9,97.0,12.2,0.0,0.0,474,7.5,1,7,22
13.1,0.0,4.3,92.0,11.8,0.0,0.0,1108,8.5,1,7,23
11.3,3.7,4.3,90.0,9.7,0.0,0.0,623,8.6,1,8,0
10.9,0.0,3.1,86.0,8.6,0.0,0.0,4179,8.1,1,8,1
8.4,0.0,4.4,82.0,5.4,0.0,0.0,4209,7.1,1,8,2
7.3,0.0,3.0,90.0,5.7,0.0,0.0,715,6.6,1,8,3
6.4,0.0,4.1,85.0,4.0,0.0,0.0,2122,6.0,1,8,4
5.0,0.0,3.9,90.0,3.4,0.0,0.0,766,5.4,1,8,5
5.0,0.6,3.1,87.0,3.0,0.0,0.0,1813,5.0,1,8,6
4.8,0.0,2.5,91.0,3.4,0.0,0.0,383,5.0,1,8,7
4.4,0.0,2.0,92.0,3.2,0.0,0.0,317,4.8,1,8,8
4.4,1.1,1.9,91.0,3.0,0.0,0.02,400,4.9,1,8,9
4.5,0.0,2.3,88.0,2.6,0.0,0.13,850,5.3,1,8,10
4.6,0.0,1.8,86.0,2.4,0.0,0.43,1033,6.4,1,8,11
4.4,0.1,2.4,87.0,2.4,0.0,0.15,798,5.5,1,8,12
4.3,0.0,3.0,87.0,2.3,0.0,0.13,442,5.3,1,8,13
4.5,0.0,2.1,86.0,2.3,0.0,0.27,412,6.2,1,8,14
4.3,0.0,2.1,86.0,2.1,0.0,0.2,370,5.8,1,8,15
4.3,0.0,2.1,86.0,2.1,0.0,0.11,348,5.2,1,8,16
4.3,0.0,1.1,85.0,1.9,0.0,0.04,380,4.9,1,8,17
4.1,0.0,2.0,85.0,1.7,0.0,0.0,341,4.5,1,8,18
3.9,0.0,1.6,88.0,2.0,0.0,0.0,251,4.4,1,8,19
3.4,0.0,2.6,90.0,1.9,0.0,0.0,178,4.0,1,8,20
3.3,0.0,1.4,86.0,1.1,0.0,0.0,385,3.9,1,8,21
2.9,0.0,1.9,82.0,0.1,0.0,0.0,482,3.5,1,8,22
2.7,0.0,3.4,70.0,-2.2,0.0,0.0,782,2.9,1,8,23
2.5,0.0,1.7,72.0,-2.0,0.0,0.0,661,2.7,1,9,0
2.0,0.0,1.0,75.0,-1.9,0.0,0.0,560,2.5,1,9,1
1.6,0.0,1.6,74.0,-2.5,0.0,0.0,585,1.8,1,9,2
1.1,0.0,1.7,74.0,-3.0,0.0,0.0,552,1.6,1,9,3
0.6,0.0,0.4,73.0,-3.6,0.0,0.0,593,1.3,1,9,4
0.6,0.0,1.7,73.0,-3.6,0.0,0.0,628,1.2,1,9,5
0.4,0.0,1.3,73.0,-3.8,0.0,0.0,623,1.0,1,9,6
0.4,0.0,1.5,74.0,-3.7,0.0,0.0,603,1.0,1,9,7
0.5,0.0,1.7,73.0,-3.7,0.0,0.0,580,0.8,1,9,8
0.9,0.0,1.9,73.0,-3.4,0.0,0.25,602,2.5,1,9,9
1.1,0.0,2.0,71.0,-3.5,0.4,0.67,582,4.4,1,9,10
1.4,0.0,1.6,70.0,-3.4,0.1,0.58,568,5.0,1,9,11
2.7,0.0,2.0,61.0,-4.0,0.6,1.24,780,9.4,1,9,12
2.7,0.0,2.5,61.0,-4.0,0.6,1.37,827,9.4,1,9,13
3.5,0.0,1.6,55.0,-4.7,1.0,1.69,950,11.5,1,9,14
3.5,0.0,2.5,54.0,-4.9,1.0,1.41,950,10.1,1,9,15
3.4,0.0,1.8,57.0,-4.3,1.0,0.81,950,7.3,1,9,16
2.0,0.0,1.9,58.0,-5.4,0.7,0.33,950,3.5,1,9,17
1.5,0.0,1.7,64.0,-4.5,0.0,0.01,831,1.3,1,9,18
0.8,0.0,1.5,66.0,-4.8,0.0,0.0,838,0.4,1,9,19
0.3,0.0,0.5,70.0,-4.5,0.0,0.0,748,0.2,1,9,20
0.0,0.0,1.0,72.0,-4.4,0.0,0.0,656,0.2,1,9,21
-0.2,0.0,0.7,74.0,-4.2,0.0,0.0,665,0.2,1,9,22
-0.7,0.0,0.6,76.0,-4.4,0.0,0.0,600,0.1,1,9,23
-1.0,0.0,0.0,77.0,-4.5,0.0,0.0,568,0.0,1,10,0
-1.5,0.0,0.9,82.0,-4.1,0.0,0.0,509,-0.2,1,10,1
-1.6,0.0,0.5,82.0,-4.2,0.0,0.0,465,-0.7,1,10,2
-2.8,0.0,0.5,89.0,-4.3,0.0,0.0,234,-1.0,1,10,3
-2.6,0.0,0.0,89.0,-4.1,0.0,0.0,269,-1.2,1,10,4
-2.8,0.0,0.0,89.0,-4.3,0.0,0.0,317,-1.3,1,10,5
-3.1,0.0,0.0,90.0,-4.5,0.0,0.0,240,-1.3,1,10,6
-3.3,0.0,0.6,90.0,-4.7,0.0,0.0,236,-1.5,1,10,7
-2.8,0.0,0.7,89.0,-4.3,0.0,0.0,197,-1.3,1,10,8
-2.0,0.0,0.6,86.0,-4.0,0.3,0.25,297,-0.3,1,10,9
-1.2,0.0,0.9,82.0,-3.8,1.0,0.91,301,0.0,1,10,10
0.0,0.0,1.9,79.0,-3.2,1.0,1.55,251,1.2,1,10,11
1.4,0.0,1.1,73.0,-2.9,1.0,1.63,299,6.6,1,10,12
2.9,0.0,1.4,65.0,-3.0,1.0,1.71,359,10.5,1,10,13
3.7,0.0,1.1,52.0,-5.2,1.0,1.71,638,12.6,1,10,14
5.0,0.0,1.3,42.0,-6.8,1.0,1.45,815,10.9,1,10,15
5.3,0.0,1.0,49.0,-4.5,1.0,0.93,627,8.3,1,10,16
4.5,0.0,0.9,50.0,-5.0,0.8,0.37,790,4.0,1,10,17
3.4,0.0,0.9,55.0,-4.8,0.0,0.01,649,1.2,1,10,18
2.7,0.0,1.3,53.0,-5.9,0.0,0.0,735,0.1,1,10,19
2.2,0.0,0.7,55.0,-5.9,0.0,0.0,758,-0.5,1,10,20
1.7,0.0,0.8,57.0,-5.9,0.0,0.0,839,0.2,1,10,21
1.5,0.0,0.4,59.0,-5.6,0.0,0.0,841,0.2,1,10,22
1.1,0.0,0.7,64.0,-4.9,0.0,0.0,849,0.1,1,10,23
0.4,0.0,0.7,68.0,-4.8,0.0,0.0,786,0.0,1,11,0
0.2,0.0,0.0,69.0,-4.8,0.0,0.0,809,-0.3,1,11,1
-0.5,0.0,0.0,75.0,-4.3,0.0,0.0,648,-0.7,1,11,2
-1.0,0.0,0.5,76.0,-4.7,0.0,0.0,538,-1.0,1,11,3
-1.5,0.0,0.0,81.0,-4.3,0.0,0.0,499,-1.3,1,11,4
-1.8,0.0,0.0,83.0,-4.3,0.0,0.0,509,-1.4,1,11,5
-1.8,0.0,0.0,83.0,-4.3,0.0,0.0,452,-1.5,1,11,6
-2.1,0.0,0.0,81.0,-4.9,0.0,0.0,461,-1.8,1,11,7
-2.6,0.0,0.0,85.0,-4.7,0.0,0.0,266,-1.8,1,11,8
-1.7,0.0,0.0,84.0,-4.0,0.5,0.23,277,-0.5,1,11,9
0.1,0.0,0.0,75.0,-3.8,1.0,0.76,455,0.1,1,11,10
1.8,0.0,0.6,70.0,-3.0,1.0,1.24,513,1.3,1,11,11
3.2,0.0,1.1,64.0,-2.9,1.0,1.52,566,6.8,1,11,12
4.1,0.0,1.5,58.0,-3.4,1.0,1.8,659,11.0,1,11,13
5.5,0.0,2.8,50.0,-4.1,1.0,1.77,814,11.8,1,11,14
5.7,0.0,2.0,49.0,-4.2,1.0,1.46,883,10.6,1,11,15
5.0,0.0,1.7,52.0,-4.0,1.0,0.82,805,7.4,1,11,16
4.1,0.0,1.5,46.0,-6.5,0.8,0.36,1103,3.2,1,11,17
3.1,0.0,0.5,53.0,-5.5,0.0,0.01,1100,0.8,1,11,18
2.5,0.0,1.5,55.0,-5.6,0.0,0.0,1071,0.4,1,11,19
1.7,0.0,2.3,56.0,-6.1,0.0,0.0,1212,0.0,1,11,20
1.1,0.0,0.5,66.0,-4.5,0.0,0.0,1050,-0.2,1,11,21
1.0,0.0,1.2,68.0,-4.2,0.0,0.0,1050,0.1,1,11,22
0.8,0.0,1.0,69.0,-4.2,0.0,0.0,1050,-0.5,1,11,23
0.6,0.0,0.8,71.0,-4.0,0.0,0.0,1050,-0.4,1,12,0
0.5,0.0,0.9,72.0,-3.9,0.0,0.0,1050,-0.2,1,12,1
0.6,0.0,0.7,69.0,-4.4,0.0,0.0,804,0.2,1,12,2
0.5,0.0,0.5,71.0,-4.1,0.0,0.0,653,0.2,1,12,3
0.4,0.0,0.8,71.0,-4.2,0.0,0.0,794,0.2,1,12,4
0.3,0.0,1.4,72.0,-4.1,0.0,0.0,901,0.2,1,12,5
0.1,0.0,1.3,73.0,-4.1,0.0,0.0,875,0.2,1,12,6
-0.4,0.0,1.0,73.0,-4.6,0.0,0.0,987,0.1,1,12,7
-0.5,0.0,0.9,69.0,-5.4,0.0,0.0,1177,0.0,1,12,8
-0.4,0.0,1.0,74.0,-4.4,0.0,0.15,1100,0.0,1,12,9
0.5,0.0,0.9,64.0,-5.5,0.0,0.4,1289,0.1,1,12,10
1.1,0.0,1.8,62.0,-5.3,0.0,0.71,1263,2.5,1,12,11
1.3,0.0,2.3,61.0,-5.4,0.1,0.77,1288,4.2,1,12,12
2.5,0.0,1.7,56.0,-5.4,0.5,1.24,1496,9.4,1,12,13
3.5,0.0,1.8,52.0,-5.4,0.9,1.55,1607,9.9,1,12,14
3.7,0.0,2.1,50.0,-5.7,0.9,1.27,1945,8.2,1,12,15
4.1,0.0,2.0,48.0,-5.9,1.0,1.0,2355,7.3,1,12,16
3.0,0.0,2.6,55.0,-5.1,0.8,0.42,2073,2.7,1,12,17
2.0,0.0,1.9,58.0,-5.4,0.0,0.02,2140,0.3,1,12,18
1.3,0.0,2.1,58.0,-6.0,0.0,0.0,2201,0.1,1,12,19
1.0,0.0,1.4,60.0,-5.9,0.0,0.0,2506,0.1,1,12,20
1.0,0.0,1.3,60.0,-5.9,0.0,0.0,2620,0.0,1,12,21
0.8,0.0,0.9,62.0,-5.6,0.0,0.0,2397,-0.2,1,12,22
0.4,0.0,1.1,63.0,-5.8,0.0,0.0,2397,-0.7,1,12,23
0.6,0.0,1.0,64.0,-5.4,0.0,0.0,2291,-0.4,1,13,0
0.6,0.0,0.8,65.0,-5.2,0.0,0.0,2480,-0.3,1,13,1
0.6,0.0,1.2,67.0,-4.8,0.0,0.0,2562,-0.3,1,13,2
0.3,0.0,0.6,71.0,-4.3,0.0,0.0,2313,-0.3,1,13,3
-0.2,0.0,1.4,66.0,-5.7,0.0,0.0,2368,-0.4,1,13,4
-0.3,0.0,0.5,68.0,-5.4,0.0,0.0,2151,-0.4,1,13,5
-0.4,0.0,0.5,70.0,-5.2,0.0,0.0,1356,-0.3,1,13,6
-0.4,0.0,0.0,69.0,-5.4,0.0,0.0,1796,-0.3,1,13,7
-1.2,0.0,2.0,79.0,-4.3,0.0,0.0,758,-0.3,1,13,8
-1.0,0.0,1.5,77.0,-4.5,0.0,0.07,945,-0.2,1,13,9
0.3,0.0,0.7,73.0,-3.9,0.7,0.72,1075,0.0,1,13,10
0.8,0.0,2.2,66.0,-4.8,0.5,0.82,1474,2.0,1,13,11
0.1,0.0,2.6,72.0,-4.3,0.2,0.91,1374,4.1,1,13,12
2.5,0.0,2.5,56.0,-5.4,0.9,1.82,2636,10.6,1,13,13
2.0,0.0,2.6,44.0,-9.0,1.0,1.87,4021,10.6,1,13,14
2.0,0.0,3.3,42.0,-9.5,1.0,1.57,4392,9.5,1,13,15
1.8,0.0,2.3,41.0,-10.0,1.0,1.08,4490,7.0,1,13,16
0.7,0.0,1.8,40.0,-11.3,0.9,0.46,4497,1.8,1,13,17
-0.3,0.0,1.8,47.0,-10.2,0.0,0.03,4124,0.5,1,13,18
-1.0,0.0,1.4,49.0,-10.3,0.0,0.0,4087,0.0,1,13,19
-1.4,0.0,1.1,52.0,-10.0,0.0,0.0,3666,-1.3,1,13,20
-1.7,0.0,0.7,53.0,-10.0,0.0,0.0,3750,-1.5,1,13,21
-1.8,0.0,0.6,54.0,-9.8,0.0,0.0,3750,-1.7,1,13,22
-2.0,0.0,0.2,55.0,-9.8,0.0,0.0,3582,-1.8,1,13,23
-2.0,0.0,0.8,58.0,-9.1,0.0,0.0,2765,-1.3,1,14,0
-2.2,0.0,1.0,57.0,-9.5,0.0,0.0,3000,-1.5,1,14,1
-2.3,0.0,0.6,59.0,-9.2,0.0,0.0,2499,-1.3,1,14,2
-2.5,0.0,1.3,61.0,-9.0,0.0,0.0,2400,-1.4,1,14,3
-2.5,0.0,1.3,61.0,-9.0,0.0,0.0,2945,-1.4,1,14,4
-2.1,0.0,0.4,58.0,-9.2,0.0,0.0,3233,-1.3,1,14,5
-3.3,0.0,1.5,65.0,-8.9,0.0,0.0,1856,-1.8,1,14,6
-3.0,0.0,0.0,63.0,-9.0,0.0,0.0,1483,-2.3,1,14,7
-3.2,0.0,1.4,68.0,-8.2,0.0,0.0,1717,-2.3,1,14,8
-2.8,0.0,0.3,71.0,-7.3,0.6,0.28,1244,-0.9,1,14,9
-1.0,0.0,0.3,58.0,-8.2,1.0,0.73,1343,0.0,1,14,10
0.5,0.0,1.0,52.0,-8.2,1.0,1.22,1522,2.0,1,14,11
1.1,0.0,1.1,44.0,-9.8,1.0,1.35,1706,4.9,1,14,12
2.1,0.0,1.7,44.0,-8.9,1.0,1.7,1883,8.8,1,14,13
2.9,0.0,2.4,43.0,-8.4,1.0,1.7,1673,10.6,1,14,14
3.5,0.0,1.3,41.0,-8.5,1.0,1.38,1585,9.0,1,14,15
3.5,0.0,1.7,43.0,-7.9,1.0,0.75,2019,5.6,1,14,16
2.5,0.0,1.8,45.0,-8.2,0.7,0.36,1838,2.0,1,14,17
1.8,0.0,1.8,46.0,-8.6,0.0,0.04,1725,0.2,1,14,18
1.1,0.0,1.4,50.0,-8.1,0.0,0.0,1414,-0.2,1,14,19
